Sale_ID,Product_ID,Sale_Date,Quantity_Sold,Revenue,Region
SA006,INV006,2024-01-27,300,"$1,700",Mumbai
SA007,INV007,2024-01-29,150,"$1,200",Kolkata
SA008,INV008,2024-02-01,250,"$2,100",Noida
SA009,INV009,2024-02-03,200,"$1,600",Lucknow
SA010,INV010,2024-02-05,350,"$2,500",Ahmedabad
SA011,INV011,2024-02-07,180,"$1,400",Indore
SA012,INV012,2024-02-09,220,"$1,800",Coimbatore
SA013,INV013,2024-02-11,270,"$2,300",Surat
SA014,INV014,2024-02-13,310,"$2,800",Jaipur
SA015,INV015,2024-02-15,150,"$1,200",Bhopal
SA016,INV016,2024-02-17,230,"$2,100",Vadodara
SA017,INV017,2024-02-19,170,"$1,500",Ludhiana
SA018,INV018,2024-02-21,280,"$2,400",Patna
SA019,INV019,2024-02-23,210,"$1,900",Agra
SA020,INV020,2024-02-25,330,"$2,700",Mysore
SA021,INV021,2024-02-27,190,"$1,600",Amritsar
SA022,INV022,2024-03-01,290,"$2,500",Ranchi
SA023,INV023,2024-03-03,160,"$1,300",Nashik
SA024,INV024,2024-03-05,240,"$2,000",Varanasi
SA025,INV025,2024-03-07,300,"$2,200",Bhubaneswar
SA026,INV026,2024-03-09,250,"$1,800",Kochi
SA027,INV027,2024-03-11,270,"$2,400",Jodhpur
SA028,INV028,2024-03-13,340,"$3,000",Vijayawada
SA029,INV029,2024-03-15,210,"$1,700",Gwalior
SA030,INV030,2024-03-17,290,"$2,600",Raipur
SA031,INV031,2024-03-19,190,"$1,500",Guwahati
SA032,INV032,2024-03-21,300,"$2,500",Kota
SA033,INV033,2024-03-23,230,"$1,800",Howrah
SA034,INV034,2024-03-25,280,"$2,200",Meerut
SA035,INV035,2024-03-27,320,"$2,700",Jabalpur
SA036,INV036,2024-03-29,160,"$1,200",Hubli
SA037,INV037,2024-03-31,270,"$2,300",Tiruchirappalli
SA038,INV038,2024-04-02,220,"$1,900",Udaipur
SA039,INV039,2024-04-04,310,"$2,800",Aurangabad
SA040,INV040,2024-04-06,170,"$1,500",Salem
SA041,INV041,2024-04-08,290,"$2,600",Gorakhpur
SA042,INV042,2024-04-10,200,"$1,700",Mangalore
SA043,INV043,2024-04-12,320,"$2,700",Siliguri
SA044,INV044,2024-04-14,240,"$2,100",Warangal
SA045,INV045,2024-04-16,300,"$2,500",Guntur
SA046,INV046,2024-04-18,270,"$2,300",Bareilly
SA047,INV047,2024-04-20,180,"$1,400",Aligarh
SA048,INV048,2024-04-22,210,"$1,800",Moradabad
SA049,INV049,2024-04-24,290,"$2,500",Thiruvananthapuram
SA050,INV050,2024-04-26,250,"$2,200",Jalandhar
