Shipment_ID,Order_ID,Shipping_Date,Delivery_Date,Shipping_Cost,Delivery_Status
SH006,PO006,2024-02-02,2024-02-04,$95,Delivered
SH007,PO007,2024-02-05,2024-02-07,$115,Delivered
SH008,PO008,2024-02-08,2024-02-10,$105,In Transit
SH009,PO009,2024-02-11,2024-02-13,$125,Scheduled
SH010,PO010,2024-02-14,2024-02-16,$100,In Transit
SH011,PO011,2024-02-17,2024-02-19,$120,Delivered
SH012,PO012,2024-02-20,2024-02-22,$130,In Transit
SH013,PO013,2024-02-23,2024-02-25,$90,Delivered
SH014,PO014,2024-02-26,2024-02-28,$110,Scheduled
SH015,PO015,2024-02-29,2024-03-02,$100,In Transit
SH016,PO016,2024-03-03,2024-03-05,$115,Delivered
SH017,PO017,2024-03-06,2024-03-08,$125,In Transit
SH018,PO018,2024-03-09,2024-03-11,$95,Delivered
SH019,PO019,2024-03-12,2024-03-14,$110,Scheduled
SH020,PO020,2024-03-15,2024-03-17,$100,In Transit
SH021,PO021,2024-03-18,2024-03-20,$120,Delivered
SH022,PO022,2024-03-21,2024-03-23,$130,In Transit
SH023,PO023,2024-03-24,2024-03-26,$90,Delivered
SH024,PO024,2024-03-27,2024-03-29,$115,Scheduled
SH025,PO025,2024-03-30,2024-04-01,$105,In Transit
SH026,PO026,2024-04-02,2024-04-04,$120,Delivered
SH027,PO027,2024-04-05,2024-04-07,$95,In Transit
SH028,PO028,2024-04-08,2024-04-10,$110,Scheduled
SH029,PO029,2024-04-11,2024-04-13,$100,Delivered
SH030,PO030,2024-04-14,2024-04-16,$125,In Transit
SH031,PO031,2024-04-17,2024-04-19,$95,Delivered
SH032,PO032,2024-04-20,2024-04-22,$110,Scheduled
SH033,PO033,2024-04-23,2024-04-25,$120,In Transit
SH034,PO034,2024-04-26,2024-04-28,$130,Delivered
SH035,PO035,2024-04-29,2024-05-01,$90,Scheduled
SH036,PO036,2024-05-02,2024-05-04,$100,In Transit
SH037,PO037,2024-05-05,2024-05-07,$115,Delivered
SH038,PO038,2024-05-08,2024-05-10,$125,In Transit
SH039,PO039,2024-05-11,2024-05-13,$95,Delivered
SH040,PO040,2024-05-14,2024-05-16,$110,Scheduled
SH041,PO041,2024-05-17,2024-05-19,$100,In Transit
SH042,PO042,2024-05-20,2024-05-22,$120,Delivered
SH043,PO043,2024-05-23,2024-05-25,$130,In Transit
SH044,PO044,2024-05-26,2024-05-28,$90,Delivered
SH045,PO045,2024-05-29,2024-05-31,$115,Scheduled
SH046,PO046,2024-06-01,2024-06-03,$105,In Transit
SH047,PO047,2024-06-04,2024-06-06,$120,Delivered
SH048,PO048,2024-06-07,2024-06-09,$95,In Transit
SH049,PO049,2024-06-10,2024-06-12,$110,Scheduled
SH050,PO050,2024-06-13,2024-06-15,$100,Delivered
SH051,PO051,2024-06-16,2024-06-18,$125,In Transit
