Order_ID,Product_ID,Quantity_Ordered,Order_Date,Completion_Date,Status
PO006,INV006,700,2024-01-22,2024-02-01,Completed
PO007,INV007,300,2024-01-25,2024-02-04,Completed
PO008,INV008,500,2024-01-28,2024-02-07,In Progress
PO009,INV009,600,2024-01-30,2024-02-09,Scheduled
PO010,INV010,400,2024-02-02,2024-02-12,In Progress
PO011,INV011,200,2024-02-04,2024-02-14,Completed
PO012,INV012,300,2024-02-06,2024-02-16,In Progress
PO013,INV013,700,2024-02-08,2024-02-18,Completed
PO014,INV014,600,2024-02-10,2024-02-20,Scheduled
PO015,INV015,400,2024-02-12,2024-02-22,In Progress
PO016,INV016,500,2024-02-14,2024-02-24,Completed
PO017,INV017,200,2024-02-16,2024-02-26,In Progress
PO018,INV018,300,2024-02-18,2024-02-28,Completed
PO019,INV019,700,2024-02-20,2024-03-02,Scheduled
PO020,INV020,600,2024-02-22,2024-03-04,In Progress
PO021,INV021,400,2024-02-24,2024-03-06,Completed
PO022,INV022,500,2024-02-26,2024-03-08,Scheduled
PO023,INV023,300,2024-02-28,2024-03-10,In Progress
PO024,INV024,700,2024-03-02,2024-03-12,Completed
PO025,INV025,200,2024-03-04,2024-03-14,In Progress
PO026,INV026,600,2024-03-06,2024-03-16,Scheduled
PO027,INV027,400,2024-03-08,2024-03-18,Completed
PO028,INV028,500,2024-03-10,2024-03-20,In Progress
PO029,INV029,300,2024-03-12,2024-03-22,Scheduled
PO030,INV030,700,2024-03-14,2024-03-24,Completed
PO031,INV031,600,2024-03-16,2024-03-26,In Progress
PO032,INV032,200,2024-03-18,2024-03-28,Scheduled
PO033,INV033,400,2024-03-20,2024-03-30,Completed
PO034,INV034,500,2024-03-22,2024-04-01,In Progress
PO035,INV035,300,2024-03-24,2024-04-03,Scheduled
PO036,INV036,700,2024-03-26,2024-04-05,Completed
PO037,INV037,600,2024-03-28,2024-04-07,In Progress
PO038,INV038,200,2024-03-30,2024-04-09,Scheduled
PO039,INV039,400,2024-04-02,2024-04-11,Completed
PO040,INV040,500,2024-04-04,2024-04-13,In Progress
PO041,INV041,300,2024-04-06,2024-04-15,Scheduled
PO042,INV042,700,2024-04-08,2024-04-17,Completed
PO043,INV043,600,2024-04-10,2024-04-19,In Progress
PO044,INV044,200,2024-04-12,2024-04-21,Scheduled
PO045,INV045,400,2024-04-14,2024-04-23,Completed
PO046,INV046,500,2024-04-16,2024-04-25,In Progress
PO047,INV047,300,2024-04-18,2024-04-27,Scheduled
PO048,INV048,700,2024-04-20,2024-04-29,Completed
PO049,INV049,600,2024-04-22,2024-05-01,In Progress
PO050,INV050,200,2024-04-24,2024-05-03,Scheduled
